Feature Name,Theme,Sub Theme,latitude,longitude,distance_km,category_score,distance_score,ranking_score,ranking_reason,source_dataset,ranking_context
Fitzroy Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8129616331579,144.980455714669,1.5262717185544317,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Carlton Gardens North,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8017690847403,144.971997551189,1.5302434878362017,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8255239795833,144.974107925144,1.6410044913286106,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.6 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Docklands Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8209956785618,144.946781702342,1.6525564942637143,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.7 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Murchinson Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8002735025371,144.973059252203,1.7208672114217307,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.7 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Macarthur Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7983318676737,144.971514146104,1.8516910435039853,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.9 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
New Quay,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8152178789077,144.941617889032,1.895632184211621,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 1.9 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Powlett Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8116929882498,144.987275671763,2.1343005688439565,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Point Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8233522700646,144.942102276731,2.1395864948671623,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Yarra Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.820469374101,144.986671109615,2.2069114483091115,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Shrine of Rembrance Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8320733992876,144.973628364465,2.252706326500816,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.3 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Darling Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.81299206932,144.989062559512,2.281693282454888,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.3 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Richmond Football Club,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8216740022008,144.988156318781,2.37701879699705,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.4 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Royal Botanic Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8306631583233,144.980850432751,2.4557488160623264,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
North Melbourne Recreation Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7988345257153,144.941452061463,2.5125102414103044,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Royal Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7906174256581,144.953834240647,2.682076850957732,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 2.7 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Princes Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7870161727156,144.961115214367,2.9611260756620914,3,2,5,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 3.0 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
The Museum Of Australian Chinese History,Place Of Assembly,Art Gallery/Museum,-37.8107686127655,144.96923385414,0.6240746461176901,2,3,5,Matches demonstration preferred category rank 2: Art Gallery/Museum; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Immigration Museum,Place Of Assembly,Art Gallery/Museum,-37.8191798798062,144.960426777129,0.6634035325687806,2,3,5,Matches demonstration preferred category rank 2: Art Gallery/Museum; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Old Melbourne Gaol Crime & Justice Experience,Place Of Assembly,Art Gallery/Museum,-37.8077644149636,144.965463853978,0.681306131623526,2,3,5,Matches demonstration preferred category rank 2: Art Gallery/Museum; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Australian Centre For The Moving Image (ACMI),Place Of Assembly,Art Gallery/Museum,-37.8176107327202,144.969070431323,0.6884394255733713,2,3,5,Matches demonstration preferred category rank 2: Art Gallery/Museum; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
The Ian Potter Centre: NGV Australia,Place Of Assembly,Art Gallery/Museum,-37.8174831423197,144.969899048343,0.7369823105245263,2,3,5,Matches demonstration preferred category rank 2: Art Gallery/Museum; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Koorie Heritage Trust Inc,Place Of Assembly,Art Gallery/Museum,-37.8133854259085,144.954027907736,0.7972966346465928,2,3,5,Matches demonstration preferred category rank 2: Art Gallery/Museum; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Fawkner Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8413996708186,144.981625667877,3.4932511072332706,3,1,4,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 3.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7982358832177,144.923837074813,3.849300827266505,3,1,4,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 3.8 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7878473341234,144.922972125346,4.542049645526952,3,1,4,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 4.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Victorian Arts Centre,Place Of Assembly,Art Gallery/Museum,-37.8219947335768,144.968837288153,1.06080707431651,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.1 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Fire Services Museum Victoria,Place Of Assembly,Art Gallery/Museum,-37.8085761281612,144.975373745366,1.214345249855772,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Royal Exhibition Building,Place Of Assembly,Art Gallery/Museum,-37.80460262432,144.971521914952,1.2443194245869402,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Victoria Police Museum,Place Of Assembly,Art Gallery/Museum,-37.8222182774409,144.954039975197,1.2456741064798302,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Museum,Place Of Assembly,Art Gallery/Museum,-37.8035518129299,144.971690718887,1.3483149524190396,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.3 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Cooks' Cottage,Place Of Assembly,Art Gallery/Museum,-37.8144604899837,144.979471339826,1.4413122262228673,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.4 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Polly Woodside,Place Of Assembly,Art Gallery/Museum,-37.8242574266145,144.953478052064,1.4555672593279256,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,-37.8266045432686,144.967252924593,1.4913400617538757,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Sinclair's Cottage,Place Of Assembly,Art Gallery/Museum,-37.8145407488014,144.980554992725,1.5368890139919036,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Fox Classic Car Collection,Place Of Assembly,Art Gallery/Museum,-37.8213744301481,144.948496661709,1.546868710305916,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
The Ian Potter Museum Of Art,Place Of Assembly,Art Gallery/Museum,-37.7973939595503,144.964156669702,1.8044190979664625,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.8 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Thoroughbred Racing Gallery,Place Of Assembly,Art Gallery/Museum,-37.8188662730911,144.9839700954,1.9245215255763684,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 1.9 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
National Sports Museum,Place Of Assembly,Art Gallery/Museum,-37.8189544909462,144.984669809381,1.986077087626744,2,2,4,Matches demonstration preferred category rank 2: Art Gallery/Museum; approximately 2.0 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Athanaeum Theatre,Place Of Assembly,Theatre Live,-37.814954347831,144.96732254212,0.400331673983882,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Regent Theatre,Place Of Assembly,Theatre Live,-37.8160014744179,144.967916735261,0.500335935373993,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Her Majesty's Theatre,Place Of Assembly,Theatre Live,-37.8109975612842,144.969520183129,0.6338972617271363,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Forum Theatre,Place Of Assembly,Theatre Live,-37.816485409696,144.969386556998,0.6386708778403801,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Comedy Theatre,Place Of Assembly,Theatre Live,-37.8102053945163,144.97013311862,0.7240187129602342,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Hamer Hall,Place Of Assembly,Theatre Live,-37.8199901009015,144.967992144257,0.8303893029540113,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Princess Theatre,Place Of Assembly,Theatre Live,-37.8107257091302,144.9723265962,0.871264415593743,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
State Theatre,Place Of Assembly,Theatre Live,-37.8212806349773,144.968469643744,0.975639240894587,1,3,4,Matches demonstration preferred category rank 3: Theatre Live; within 1 km of the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8314918578874,144.908824792698,5.165707230492158,3,0,3,Matches demonstration preferred category rank 1: Informal Outdoor Facility (Park/Garden/Reserve); approximately 5.2 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Playhouse,Place Of Assembly,Theatre Live,-37.8218124583016,144.968337832721,1.0225405562789929,1,2,3,Matches demonstration preferred category rank 3: Theatre Live; approximately 1.0 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
FairFax Studio,Place Of Assembly,Theatre Live,-37.8216684581887,144.968836241692,1.0289824126372118,1,2,3,Matches demonstration preferred category rank 3: Theatre Live; approximately 1.0 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
MTC Theatre,Place Of Assembly,Theatre Live,-37.8242661832902,144.968174400274,1.2670163851234992,1,2,3,Matches demonstration preferred category rank 3: Theatre Live; approximately 1.3 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Malthouse Theatre,Place Of Assembly,Theatre Live,-37.8271768001126,144.966936821789,1.5468310798829938,1,2,3,Matches demonstration preferred category rank 3: Theatre Live; approximately 1.5 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
La Mama Theatre,Place Of Assembly,Theatre Live,-37.7991304956733,144.967669503083,1.658262190066374,1,2,3,Matches demonstration preferred category rank 3: Theatre Live; approximately 1.7 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Carlton Courthouse Theatre,Place Of Assembly,Theatre Live,-37.7976589943217,144.968750113566,1.840751580446997,1,2,3,Matches demonstration preferred category rank 3: Theatre Live; approximately 1.8 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
St Martins Youth Arts Centre,Place Of Assembly,Theatre Live,-37.8352429531289,144.98114217385,2.8814718645242987,1,2,3,Matches demonstration preferred category rank 3: Theatre Live; approximately 2.9 km straight-line distance from the demonstration location.,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Visitor Booth,Community Use,Visitor Centre,-37.8139525061193,144.964425882562,0.1228906398544935,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
The Melbourne Athenaeum Library,Place Of Assembly,Library,-37.8148855756416,144.967291289941,0.3949578537694027,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
State Library Victoria,Community Use,Public Buildings,-37.8099852201226,144.964330322397,0.4162226547540676,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Visitor Centre,Community Use,Visitor Centre,-37.8177352402006,144.967937138226,0.6260815342153325,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
City Baths,Leisure/Recreation,Major Sports & Recreation Facility,-37.8071585350561,144.963189789721,0.7163016542307358,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Eureka Skydeck 88,Leisure/Recreation,Observation Tower/Wheel,-37.8216187583314,144.964622218598,0.9016153109992268,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Artplay,Leisure/Recreation,Indoor Recreation Facility,-37.8184198800044,144.971542586509,0.915003532090712,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Aquarium,Purpose Built,Aquarium,-37.8209627824685,144.958425696055,0.9158950549189312,0,3,3,No demonstration preferred-category match; ranked mainly by geographic proximity (within 1 km of the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
NGV International,Community Use,Public Buildings,-37.8230135000869,144.969342535451,1.181663500696428,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.2 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Recital Centre,Community Use,Public Buildings,-37.8238327885805,144.967682729667,1.2069411101585978,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.2 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Elisabeth Murdoch Hall,Community Use,Public Buildings,-37.8239733704282,144.967450979234,1.2151335997074937,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.2 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Melbourne Theatre Company,Community Use,Public Buildings,-37.823930384816,144.968297429894,1.2360849547409407,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.2 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
IMAX Melbourne,Place Of Assembly,Cinema,-37.8034315561903,144.970639929886,1.3104189474390104,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.3 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Conservatory,Community Use,Public Buildings,-37.814002127195,144.9785597431,1.3587941141724194,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.4 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Etihad Stadium,Leisure/Recreation,Major Sports & Recreation Facility,-37.8161760471742,144.947496254547,1.4002982005025493,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.4 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
Sidney Myer Music Bowl,Community Use,Public Buildings,-37.8233471608733,144.974686151365,1.4867580843778034,0,2,2,No demonstration preferred-category match; ranked mainly by geographic proximity (approximately 1.5 km straight-line distance from the demonstration location).,City of Melbourne - Landmarks and places of interest,Demonstration ranking baseline only; not a live recommendation.
